"cover","elev","tci","streamdist","disturb","beers"
0,760.6,5.57019711,255,"LT-SEL",0.94494045
0,750.6,7.00905085,301.5,"LT-SEL",0.12922165
0,659.7,7.15281677,10,"LT-SEL",1.83896255
0,751.5,5.0061202,219.3,"LT-SEL",1.67205107
0,752.9,4.58780289,205.2,"LT-SEL",0.03474157
0,731.2,4.71225786,169.7,"LT-SEL",0.04445076
0,514.3,3.77509809,150,"LT-SEL",1.48247421
0,446.6,4.69749117,50,"LT-SEL",1.50944912
0,518.3,4.35624313,220,"LT-SEL",0.6318047
0,552.7,8.75770378,161.2,"LT-SEL",0.1227034
0,413.1,6.75950623,10,"LT-SEL",1.86838758
0,443.3,8.6936121,10,"LT-SEL",0.42805532
0,478.2,5.47542715,100.5,"LT-SEL",0.44149759
0,339.8,5.53444195,50,"LT-SEL",1.30991566
0,351,5.04492712,92.2,"LT-SEL",1.98913229
0,326.3,6.51829004,40,"LT-SEL",1.96703136
0,362.6,4.59075308,31.62,"LT-SEL",0.01060447
0,368.7,4.95879889,127.3,"LT-SEL",0.24951959
0,379.4,4.40113401,64.03,"LT-SEL",0.0154725
0,564.8,5.63021421,138.9,"LT-SEL",1.24359202
0,605.9,3.48094106,130.4,"LT-SEL",1.99760628
0,603.3,3.52819395,247.6,"LT-SEL",1.67021656
0,574.5,4.40125084,205.2,"LT-SEL",1.633129
0,594.8,5.8831768,278.9,"LT-SEL",1.45682681
0,592.6,4.91427422,100,"LT-SEL",1.35003245
0,573.9,3.8970089,200,"LT-SEL",0.84790725
0,562.8,5.2535038,620.1,"LT-SEL",0.89792567
0,561.5,3.56035495,667.1,"LT-SEL",0.38941371
0,662.6,4.68487406,466.9,"LT-SEL",0.30797628
0,601.9,4.73188114,332.4,"LT-SEL",1.94799662
0,611.9,3.47198105,150,"LT-SEL",0.13187182
0,340.8,8.63799095,72.11,"LT-SEL",0.2041461
0,381,9.631917,120.4,"LT-SEL",0.5425055
0,362.4,6.63645792,85.44,"LT-SEL",0.19415538
0,352.1,4.38337517,128.1,"LT-SEL",0.13132447
0,526.4,8.25389004,223.6,"SETTLE",0.46192941
0,565.3,3.60729504,560.4,"SETTLE",0.01103224
0,615.2,4.56351614,503.3,"CORPLOG",0.58080691
0,578.2,8.48253059,457.9,"CORPLOG",0.35673663
0,566.9,4.40872002,456.2,"CORPLOG",1.15643048
0,376.4,12.55,20,"CORPLOG",0.61370921
0,407.6,5.54437208,170.3,"CORPLOG",0.72769904
0,403.2,5.53664684,128.1,"CORPLOG",1.21641386
0,389.1,8.76318359,30,"CORPLOG",1.17887866
0,444.3,7.50882721,0,"CORPLOG",1.57979429
0,301.6,5.40006924,957.5,"LT-SEL",0.81457144
0,414,8.91287422,72.11,"CORPLOG",1.10765398
0,266.7,9.18743038,645.6,"LT-SEL",0.99610078
0,294,4.97123289,553.6,"LT-SEL",1.23914731
0,283.6,7.5401268,234.1,"LT-SEL",1.94689631
0,542,6.92999887,432.7,"SETTLE",0.24556172
0,544.1,5.79644585,502.2,"SETTLE",1.52776837
0,541.4,7.01022387,466.5,"SETTLE",0.08437267
0,544.1,6.66943598,398.2,"SETTLE",1.41355217
0,550.7,5.81284523,141.4,"SETTLE",1.50991607
0,557.6,10.21,10,"SETTLE",0.03650986
0,547.5,8.6886034,310.2,"SETTLE",0.17736255
0,544.6,7.94175386,165.5,"SETTLE",0.02136434
0,560.7,9.52658463,14.14,"SETTLE",0.02793757
0,574.9,6.78551006,10,"SETTLE",0.20727427
0,572.8,7.62810993,22.36,"SETTLE",0.03176557
0,734.6,7.93976402,162.8,"LT-SEL",0.00156734
0,575.9,8.24578762,100,"SETTLE",0.9884721
0,686.2,4.92977715,161.2,"LT-SEL",1.99187672
0,655.2,10.57,120,"LT-SEL",0.89269853
0,541.9,7.33280897,0,"LT-SEL",1.96483958
0,612.6,25,14.14,"LT-SEL",1.55678284
0,639.4,5.7957592,84.85,"LT-SEL",0.00145035
0,587.1,6.15322685,89.44,"SETTLE",1.29886603
0,585.7,5.99898481,145.6,"SETTLE",1.93316519
0,561.2,7.04439116,67.08,"SETTLE",1.99568403
0,533,7.59922695,281.6,"CORPLOG",0.04021897
0,564.6,5.26179314,150,"SETTLE",0.18374863
0,564.9,5.35143995,63.25,"SETTLE",0.12554877
0,729.3,11.95,10,"LT-SEL",1.18634629
0,1206,8.59319401,92.2,"VIRGIN",1.52297461
0,1198,5.05267286,320,"VIRGIN",0.51815426
0,1320,6.28242493,340.1,"LT-SEL",1.9509455
0,1410,6.15304184,297,"LT-SEL",1.79985917
0,1069,4.48374319,460,"LT-SEL",0.98173082
0,1016,5.26976299,371.1,"LT-SEL",1.89836729
0,835,12.85,20,"LT-SEL",1.24775505
0,1206,5.73453093,270,"VIRGIN",1.9943167
0,1160,5.17023802,406.1,"VIRGIN",0.41092247
0,1045,4.4259181,468.6,"LT-SEL",1.76033938
0,847,13.13,14.14,"LT-SEL",0.98592901
0,1051,13.25,36.06,"VIRGIN",0.68460089
0,1023,8.08509541,322,"VIRGIN",1.59904301
0,871,4.15861702,111.8,"LT-SEL",1.62318277
0,1342,4.98367977,368.8,"LT-SEL",1.98102522
0,1192,5.13333893,148.7,"LT-SEL",1.13526225
0,1020,7.13305187,668.5,"LT-SEL",0.76673138
0,1054,4.84549713,341.3,"VIRGIN",1.03278947
0,890.1,5.04505777,323.1,"LT-SEL",0.35970154
0,873.4,4.89006901,360.1,"LT-SEL",0.68368012
0,557.9,7.67933702,31.62,"SETTLE",0.15679471
0,564.4,5.86814404,127.3,"SETTLE",0.00039218
0,523.8,7.68058014,170,"SETTLE",0.10889467
0,521,8.10571766,40,"SETTLE",0.42098105
0,800.8,5.00502396,182.5,"LT-SEL",1.83901954
0,765.8,14.86,28.28,"LT-SEL",1.17353928
0,801.9,6.44111204,30,"LT-SEL",1.82316864
0,919.4,5.90393496,522,"LT-SEL",1.31757283
0,922.1,8.26660347,398.1,"LT-SEL",1.91975427
